Device Name,Device Type,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),Energy Efficiency%,Power Consumption,Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),Data Traffic Allocated (MB),Data Throughput per Watt (MB/W),DataTraffic Utilization%,Carbon Emission (kgCO₂),Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message
CEUASEC01-R01SW03,cisco_ios,FOC2236Z07M,C9300-24P,172.31.71.28,Al Taweelah,44,13,31,24,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/11, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-715WAC,Unknown",715,2606,4935,52.81,0.0054,491492533,498684072,455547.126,456822.161,912369.287,890.986,5580000,184.877,16.350704,1.0531,0.0011,,,,,,,,Successfully connected to device.
CEUAEPMOI3R1SW05,cisco_ios,FOC2236Z06K,C9300-24P,172.31.27.109,Al Taweelah,44,11,33,24,"Vlan1000, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/8, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/17, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2730,5170,52.8,4.4609,1828382,3333791,438.567,720.396,1158.963,1.132,8640000,0.224,0.013414,1.1032,0.0011,,,,,,,,Successfully connected to device.
CEUA4412I01R01SW01,cisco_ios,FOC2231Z0MC,C9300-24P,172.31.35.42,Al Taweelah,45,19,26,24,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/16, GigabitEthernet1/0/20, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2728,5170,52.77,0.0404,116364212,82776965,81631.904,46413.513,128045.418,125.044,16740000,24.767,0.764907,1.1024,0.0011,,,,,,,,Successfully connected to device.
CEUAPOTLINEI01R01SW01,cisco_ios,FCW2236E08F,C9300-24P,172.31.54.14,Al Taweelah,45,15,30,24,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/15, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2728,5170,52.77,0.0377,79673152,85832721,54228.211,82907.154,137135.365,133.921,42300000,26.525,0.324197,1.1024,0.0011,,,,,,,,Successfully connected to device.
CUEA242610I01R01SW01,cisco_ios,FCW2234C1BM,C9300-24P,172.31.35.31,Al Taweelah,44,22,22,24,"Vlan99, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/7, GigabitEthernet1/0/9, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/17, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/24, TenGigabitEthernet1/1/3, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,0,Standalone,Power sharing,1,PWR-C1-715WAC,715,2728,5170,52.77,0.0029,716193774,1357638050,427307.656,1351377.955,1778685.611,1736.998,18540000,344.04,9.593774,1.1024,0.0011,,,,,,,,Successfully connected to device.
CEUA5730I01R01SW01,cisco_ios,FOC2234U1A3,C9300-24P,172.31.54.15,Al Taweelah,86,27,59,24,"Vlan99, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/5, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/18, GigabitEthernet1/0/21, GigabitEthernet1/0/23, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1, GigabitEthernet2/0/1, GigabitEthernet2/0/2, GigabitEthernet2/0/7, GigabitEthernet2/0/9, GigabitEthernet2/0/11, GigabitEthernet2/0/14, GigabitEthernet2/0/15, GigabitEthernet2/0/16, GigabitEthernet2/0/17, GigabitEthernet2/0/20, GigabitEthernet2/0/21, TenGigabitEthernet2/1/1, AppGigabitEthernet2/0/1, Port-channel1","2 Virtual, 56 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-715WAC,2860,5455,10340,52.76,0.151,46435536,69802132,23973.515,44524.063,68497.579,66.892,53748000,6.625,0.127442,2.2044,0.0022,,,,,,,,Successfully connected to device.
CEUA1814-07I01R01SW01,cisco_xe,FCW2237L0LS,C9300-24P,172.31.35.25,Al Taweelah,45,13,32,24,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/4, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/14, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2726,5170,52.73,0.0175,170979232,180099073,114936.034,179843.605,294779.639,287.871,41310000,57.017,0.713579,1.1016,0.0011,,,,,,,,Successfully connected to device.
CEU1814-01I01R01SW01,cisco_xe,FCW2236G04A,C9300-24P,172.31.35.47,Al Taweelah,44,5,39,24,"Vlan99, GigabitEthernet1/0/20, GigabitEthernet1/0/22, TenGigabitEthernet1/1/1, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2723,5170,52.67,4.5799,2578764,1198159,579.294,549.548,1128.842,1.102,3240000,0.218,0.034841,1.1004,0.0011,,,,,,,,Successfully connected to device.
CEUA1884-4I01R01SW01,cisco_xe,FCW2232E10L,C9300-24P,172.31.86.21,Al Taweelah,86,28,58,24,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/3, GigabitEthernet1/0/5, GigabitEthernet1/0/6, GigabitEthernet1/0/8, GigabitEthernet1/0/15, GigabitEthernet1/0/19, GigabitEthernet1/0/20, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, TenGigabitEthernet1/1/3, AppGigabitEthernet1/0/1, GigabitEthernet2/0/10, GigabitEthernet2/0/11, GigabitEthernet2/0/12, GigabitEthernet2/0/15, GigabitEthernet2/0/16, GigabitEthernet2/0/17, GigabitEthernet2/0/19, GigabitEthernet2/0/20, GigabitEthernet2/0/21, GigabitEthernet2/0/22, GigabitEthernet2/0/23, TenGigabitEthernet2/1/1, TenGigabitEthernet2/1/2, AppGigabitEthernet2/0/1, Port-channel11","2 Virtual, 56 Gigabit, 16 TenGigabit, 4 TwentyFiveGigabit, 4 FortyGigabit",TRUE,4,0,Standalone,Power sharing,4,PWR-C1-715WAC,2860,5444,10340,52.65,0.0045,1189737559,958774294,1301459.195,974228.079,2275687.274,2222.351,54729000,220.086,4.158101,2.1999,0.0022,,,,,,,,Successfully connected to device.
CEUA6100I01R01SW01,cisco_xe,FCW2234E0LE,C9300-24P,172.31.71.21,Al Taweelah,45,20,25,24,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/10, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/15, GigabitEthernet1/0/16, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, TenGigabitEthernet1/1/3, TenGigabitEthernet1/1/4, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-715WAC,1430,2592,4935,52.52,0.0017,1352262807,1211818822,1439453.52,1408577.634,2848031.155,2781.28,47529000,577.109,5.992197,1.0474,0.001,,,,,,,,Successfully connected to device.
