DeviceName,DeviceType,Serial Number,Product Number (PN),IP Address,Site,Total Interfaces,Up Links,Down Links,Access Port,UP Link Interfaces,Interface Types,Stack,Active PSU,Non Active PSU,Switch Topology,Switch Mode,PSU Count,PSU Model,Total Power Capacity,Power Output (W),Power Input (W),Energy Efficiency%,Power Consumption,Input Packets,Output Packets,RX (MB),TX (MB),Data Traffic Consumed (MB),Data Traffic Consumed (GB),Data Traffic Allocated (MB),Data Throughput per Watt (MB/W),DataTraffic Utilization%,Carbon Emission (kgCO₂),Carbon Emission (tonCO₂),HW End-of-Life (EoL),HW End-of-Support (EoS),HW Last Day of Support,HW Last Date of RFA,HW Security Support EoS,SW Maintenance EoL,SW Vulnerability Support EoS,Error Message,Carbon Emission (kgCO2)
CEUA3-2311-03I01R01SW01,cisco_xe,FOC2720Y241,C9300-24H,172.31.35.88,AlTaweelah,45,8,37,24,"Vlan100, GigabitEthernet1/0/2, GigabitEthernet1/0/23, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC-P,2200,2178,5280,41.25,13.5787,2237385,674528,215.424,173.419,388.843,0.38,6840000,0.074,0.005685,0.8801,0.0009,,,,,,,,Successfully connected to device.,2.1336
CUEA223610I01R01SW01,cisco_ios,FOC2720Y25P,C9300-24H,172.31.35.36,AlTaweelah,45,7,38,24,"Vlan99, GigabitEthernet1/0/7, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"Unknown,PWR-C1-1100WAC-P",1100,2178,5280,41.25,8.0838,2658141,830253,482.935,170.223,653.159,0.638,5940000,0.124,0.010996,0.8801,0.0009,,,,,,,,Successfully connected to device.,2.1336
CUEA221610I01R01SW02,cisco_ios,FOC2720Y24L,C9300-24H,172.31.35.30,AlTaweelah,45,8,37,24,"Vlan99, GigabitEthernet1/0/6, GigabitEthernet1/0/19, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-1100WAC-P,Unknown",1100,2178,5280,41.25,0.5299,10913333,757171,9794.641,168.958,9963.599,9.73,38430000,1.887,0.025927,0.8801,0.0009,,,,,,,,Successfully connected to device.,2.1336
CUEA243610I01R01SW02,cisco_xe,FOC2720Y1G9,C9300-24H,172.31.35.32,AlTaweelah,45,8,37,24,"Vlan99, GigabitEthernet1/0/2, GigabitEthernet1/0/3, GigabitEthernet1/0/4, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-1100WAC-P,Unknown",1100,2178,5280,41.25,0.0597,43509689,53914117,30294.524,58117.235,88411.759,86.34,5220000,16.745,1.693712,0.8801,0.0009,,,,,,,,Successfully connected to device.,2.1336
CUEA222610I01R01SW01,cisco_ios,FOC2720Y25X,C9300-24H,172.31.35.34,AlTaweelah,45,7,38,24,"Vlan99, GigabitEthernet1/0/21, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-1100WAC-P,Unknown",1100,2136,5280,40.45,8.3237,2575098,820802,464.417,169.921,634.337,0.619,5940000,0.12,0.010679,0.8632,0.0009,,,,,,,,Successfully connected to device.,2.1336
CEUA3-2311-05I01R01SW02,cisco_xe,FOC2720Y23L,C9300-24H,172.31.35.87,AlTaweelah,45,3,42,24,"Vlan100, GigabitEthernet1/0/24, AppGigabitEthernet1/0/1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,2,0,Standalone,Power sharing,2,PWR-C1-1100WAC-P,2200,2134,5280,40.42,27.0475,1036106,276107,99.75,95.463,195.212,0.191,2250000,0.037,0.008676,0.8623,0.0009,,,,,,,,Successfully connected to device.,2.1336
CUEA241610I01R01SW01,cisco_ios,FOC2719YESY,C9300-24H,172.31.35.39,AlTaweelah,45,7,38,24,"Vlan99, GigabitEthernet1/0/2, GigabitEthernet1/0/22, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-1100WAC-P,Unknown",1100,2134,5280,40.42,5.931,3748873,2683145,562.295,327.95,890.245,0.869,5940000,0.169,0.014987,0.8623,0.0009,,,,,,,,Successfully connected to device.,2.1336
CUEA221610I01R01SW01,cisco_ios,FOC2720Y269,C9300-24H,172.31.35.29,AlTaweelah,45,8,37,24,"Vlan99, GigabitEthernet1/0/2, GigabitEthernet1/0/6, GigabitEthernet1/0/24, TenGigabitEthernet1/1/1, TenGigabitEthernet1/1/2, AppGigabitEthernet1/0/1, Port-channel1","2 Virtual, 28 Gigabit, 8 TenGigabit, 2 TwentyFiveGigabit, 2 FortyGigabit",FALSE,1,1,Standalone,Power sharing,2,"PWR-C1-1100WAC-P,Unknown",1100,2134,5280,40.42,1.1721,5778793,839468,4331.451,173.192,4504.643,4.399,37620000,0.853,0.011974,0.8623,0.0009,,,,,,,,Successfully connected to device.,2.1336
CEUA1884SECGT13SW01,cisco_ios,FDO1931E1PN,WS-C3650-24PS,172.31.71.97,AlTaweelah,31,13,18,24,"Vlan99, GigabitEthernet1/0/1, GigabitEthernet1/0/14, GigabitEthernet1/0/15, GigabitEthernet1/0/18, GigabitEthernet1/0/19, GigabitEthernet1/0/20, GigabitEthernet1/0/21, GigabitEthernet1/0/22, GigabitEthernet1/0/23, GigabitEthernet1/0/24, GigabitEthernet1/1/2, GigabitEthernet1/1/4","2 Virtual, 28 Gigabit",FALSE,1,0,,,1,PWR-C2-640WAC,640,311,780,39.87,0.0001,7713829424,4781036656,9493576.419,2048100.618,11541677.04,11271.169,4770000,14797.022,241.963879,0.1257,0.0001,10/31/2020,10/31/2021,10/31/2026,10/31/2022,1/29/2026,10/31/2022,10/31/2026,Successfully connected to device.,0.3152
CEUAWAREHOUSE3SW1,cisco_ios,FDO2250F01Y,WS-C3650-24PS-L,172.31.86.55,AlTaweelah,31,10,21,24,"Vlan99, GigabitEthernet1/0/4, GigabitEthernet1/0/6, GigabitEthernet1/0/7, GigabitEthernet1/0/8, GigabitEthernet1/0/11, GigabitEthernet1/0/12, GigabitEthernet1/0/13, GigabitEthernet1/0/14, GigabitEthernet1/0/24","2 Virtual, 28 Gigabit",FALSE,1,0,,,1,PWR-C2-640WAC,640,306.4,780,39.28,0.0087,58099020,54197342,44937.919,44782.975,89720.893,87.618,2070000,115.027,4.334343,0.1238,0.0001,10/31/2020,10/31/2021,10/31/2026,10/31/2022,1/29/2026,10/31/2022,10/31/2026,Successfully connected to device.,0.3152
